"by15","par1_n","par2_s","pyr1_n","pyr2_s","am2320_high_temp","am2320_high_rh","sht2_low_temp","sht2_low_rh","bmp_box_temp","bmp_box_atm_p","soil_t1","soil_t2","soil_t3","soil_t4"
2019-08-30 10:30:00,349.013103448276,438.536551724138,158.460344827586,160.345172413793,27.0275862068966,39.4655172413793,23.9303448275862,53.9010344827586,26.4355172413793,85198.1293103448,23.8758620689655,23.3286206896552,23.6865517241379,23.4913793103448
2019-08-30 10:45:00,312.407666666667,249.602666666667,110.624666666667,99.324,24.3466666666667,45.5633333333333,24.0523333333333,53.55,26.632,85176.037,24.0853333333333,23.4206666666667,23.78,23.6846666666667
2019-08-30 11:00:00,307.707586206897,377.912413793103,138.039655172414,133.835862068966,26.0724137931034,42.4862068965517,23.511724137931,55.0203448275862,26.4137931034483,85160.9968965517,24.2479310344828,23.5310344827586,23.878275862069,23.8706896551724
2019-08-30 11:15:00,593.274666666667,757.539,235.886,302.136666666667,28.3233333333333,39.0166666666667,25.0523333333333,52.2056666666667,26.8216666666667,85128.8176666667,24.3613333333333,23.637,23.98,24.036
2019-08-30 11:30:00,531.256551724138,541.350344827586,216.379655172414,183.567586206897,29.1689655172414,35.8827586206897,25.9075862068966,49.6086206896552,28.0727586206897,85095.5896551724,24.5331034482759,23.7355172413793,24.0924137931034,24.1534482758621
2019-08-30 11:45:00,958.239655172414,748.771724137931,332.005862068966,324.893793103448,31.8310344827586,33.0827586206897,27.4675862068966,46.6906896551724,29.4820689655172,85077.6072413793,24.7703448275862,23.8637931034483,24.2810344827586,24.3058620689655
2019-08-30 12:00:00,567.848,580.593333333333,218.854666666667,231.043333333333,32.5966666666667,30.7833333333333,28.896,43.2806666666667,31.4433333333333,85053.5486666667,25.089,24.02,24.5326666666667,24.5073333333333
2019-08-30 12:15:00,655.105862068966,655.174482758621,212.23275862069,241.326551724138,32.851724137931,30.6,28.6427586206897,43.7827586206897,32.0958620689655,85037.6613793103,25.4655172413793,24.2251724137931,24.8420689655172,24.7937931034483
2019-08-30 12:30:00,503.012666666667,564.208666666667,165.001333333333,215.782,31.1166666666667,32.3333333333333,27.8706666666667,45.2206666666667,32.057,85015.7443333333,25.8823333333333,24.4816666666667,25.202,25.0683333333333
2019-08-30 12:45:00,677.30724137931,777.785172413793,225.54,357.221034482759,29.0655172413793,36.6103448275862,27.9641379310345,45.2455172413793,31.7013793103448,84996.27,26.2851724137931,24.7548275862069,25.6137931034483,25.3503448275862
2019-08-30 13:00:00,609.273333333333,703.660333333333,224.376333333333,289.429,30.83,33.66,28.5733333333333,43.9443333333333,32.464,84966.926,26.6366666666667,25.034,26.0133333333333,25.5966666666667
2019-08-30 13:15:00,619.385172413793,722.789655172414,206.682413793103,225.378620689655,30.9241379310345,33.1034482758621,29.2696551724138,42.268275862069,33.6286206896552,84942.96,26.9896551724138,25.3031034482759,26.4251724137931,25.8565517241379
2019-08-30 13:30:00,549.575333333333,667.661333333333,202.240333333333,218.022,32.2433333333333,31.7266666666667,29.311,42.395,34.4686666666667,84936.0773333333,27.3783333333333,25.5803333333333,26.876,26.067
2019-08-30 13:45:00,774.58275862069,864.515517241379,293.158275862069,337.986551724138,30.6448275862069,33.5241379310345,30.2172413793103,41.151724137931,34.9175862068966,84907.2262068966,27.741724137931,25.8610344827586,27.3244827586207,26.2851724137931
2019-08-30 14:00:00,1129.71466666667,1340.34533333333,477.866,512.293,31.34,32.74,31.184,39.1366666666667,35.887,84874.41,28.1656666666667,26.151,27.7003333333333,26.5216666666667
